Activity,Proposed start,Proposed finish
Requirements and product backlog,"June 2026, first half","June 2026, second half"
"Architecture, interface and database design","June 2026, second half","July 2026, first half"
Resident accounts and fire reporting,"July 2026, first half","August 2026, first half"
GIS mapping and severity assessment,"July 2026, second half","August 2026, second half"
"Dispatch, routes and resource monitoring","August 2026, first half","September 2026, second half"
Inter-municipality coordination,"September 2026, first half","October 2026, first half"
Firefighter application and offline functions,"September 2026, second half","November 2026, first half"
"Dashboards, notifications and reports","October 2026, first half","November 2026, first half"
"Testing, sprint reviews and retrospectives","July 2026, first half","November 2026, second half"
Pilot deployment and user orientation,"November 2026, second half","December 2026, first half"
System evaluation and revisions,"December 2026, first half","December 2026, second half"
Research documentation and final submission,"June 2026, first half","December 2026, second half"
